id,name,shop_url,agb_url;;;;;;
1,redcoon GmbH,www.redcoon.de,http://www.redcoon.de/generalterms?refId=94511215;;;;;;
2,comtech GmbH,www.comtech.de,https://www.comtech.de/unsere-agb;;;;;;
3,real,- SB-Warenhaus GmbH,www.real.de,https://www.real.de/rechtliches/agb/;;;;;;
4,Handelshaus Wagner GmbH,www.elektroshopwagner.de,https://www.elektroshopwagner.de/shop_content.php/coID/3/content/Unsere-AGB;;;;;;
5,Cyberport GmbH,www.cyberport.at,https://www.cyberport.at/cms/2/1/0/0/cms.html?DOCID=20281;;;;;;
6,computeruniverse GmbH,www.computeruniverse.net,http://www.computeruniverse.net/info/agbs.asp;;;;;;
7,RSU GmbH,www.reifensuche.com,https://www.reifensuche.com/AGB;;;;;;
8,Büromarkt Böttcher AG,www.bueromarkt-ag.de,https://www.bueromarkt-ag.de/agb/agb.php;;;;;;
9,notebooksbilliger.de AG,www.notebooksbilliger.de,http://www.notebooksbilliger.de/infocenter.php/section/conditions;;;;;;
10,OTTO (GmbH &amp; Co. KG),www.otto.de,https://www.otto.de/shoppages/service/agb;;;;;
11,myToolStore GmbH,www.mytoolstore.de,http://www.mytoolstore.de/conditions.php;;;;;;
12,Re-In Retail International GmbH,www.voelkner.de,https://www.voelkner.de/AGB.html;;;;;;
13,ALTERNATE GmbH,www.alternate.de,https://www.alternate.de/HILFE/ALTERNATE/AGB;;;;;;
14,Elektro2000 Handelsgesellschaft mbH,www.elektro2000.de,https://www.elektro2000.de/index.php/allgemeine-geschaeftsbedingungen2;;;;;;
15,Jacob Elektronik GmbH,www.jacob.de,https://www.jacob.de/agb.html;;;;;;
16,Foto Erhardt GmbH,www.foto-erhardt.de,https://www.foto-erhardt.de/AGB.html;;;;;;
17,Drucker.de IT-Handelsgesellschaft mbH,www.drucker-guenstiger.de,https://www.drucker-guenstiger.de/custom/index/sCustom/114;;;;;;
18,PIXXASS e.K.,www.pixxass.de,https://www.pixxass.de/AGB;;;;;;
19,Euro-Apotheke K. Talu e.K.,www.eurapon.de,http://www.eurapon.de/agb/;;;;;;
20,Elektro Reiners Systemtechnik GmbH,www.elektroradar.de,https://www.elektroradar.de/epages/ElektroRadar.sf/agb.html;;;;;;
21,elektro-plus GmbH,www.elektro-plus.de,http://www.elektro-plus.de/discl.htm;;;;;;
22,Media Markt E-Business GmbH,www.mediamarkt.de,http://www.mediamarkt.de/?layer=terms;;;;;;
23,21sportsgroup GmbH,www.21run.com,http://www.21run.com/ru_de/terms-conditions;;;;;;
24,Saturn online GmbH,www.saturn.de,http://www.saturn.de/?layer=terms&rbtc=ide%7Cpf%7Cagb%7C%7Cp%7C%7C;;;;;;
25,Duttenhofer GmbH &amp; Co. KG,www.technikdirekt.de,http://www.technikdirekt.de/agb;;;;;
26,digital-versand.de Online GmbH,www.xenudo.de,http://www.xenudo.de/agb/page.html;;;;;;
27,Future-X GmbH,www.future-x.de,http://www.future-x.de/conditions.php;;;;;;
28,marsmedia GmbH,www.mars-media-elektronik.de,https://www.mars-media-elektronik.de/seiten/2/de/agb.html;;;;;;
29,Rubart GmbH,www.rubart.de,https://www.rubart.de/Unsere-AGB-s-coID3;;;;;;
30,RB Handelsgesellschaft mbH,www.my-solution.de,http://www.my-solution.de/show_agbs.html;;;;;;
31,Conrad Electronic SE,www.conrad.de,https://www.conrad.de/de/ueber-conrad/rechtliches/agb.html;;;;;;
32,RedZilla GmbH,www.redzilla.de,https://www.redzilla.de/AGB;;;;;;
33,MEDION AG,www.medion.com,http://www.medion.com/de/MedionCmsLightbox.html?contentCode=footer_agb;;;;;;
34,FC-Moto GmbH &amp; Co. KG,www.fc-moto.de,https://www.fc-moto.de/epages/fcm.sf/de_DE/?ObjectPath=/Shops/10207048/Categories/TermsAndConditions;;;;;
35,Wensauer Com-Systeme GmbH,www.cw-mobile.de,https://www.cw-mobile.de/;;;;;;
36,milan GmbH,www.milan.berlin,https://www.milan.berlin/agb;;;;;;
37,Mindfactory AG,www.mindfactory.de,https://www.mindfactory.de/info_center.php/icID/59;;;;;;
38,Lidl E-Commerce International GmbH &amp; Co. KG,www.lidl.de,https://www.lidl.de/de/allgemeine-geschaeftsbedingungen-onlineshop/s6;;;;;
39,HQ-Patronen GmbH,www.hq-patronen.de,https://www.hq-patronen.de/info/agb.aspx;;;;;;
40,Dirk &amp; Thomas Wermuth GbR,www.wermuth.de,http://www.wermuth.de/50666_agb.html;;;;;
41,TintenCenter.com GmbH,www.tintencenter.com,https://www.tintencenter.com/agb/;;;;;;
42,Re-In Retail International GmbH,www.digitalo.de,https://www.digitalo.de/AGB.html;;;;;;
43,internetstores GmbH,www.bruegelmann.de,https://www.bruegelmann.de/agb.html;;;;;;
44,büroshop24 GmbH,www.bueroshop24.de,http://www.bueroshop24.de/hilfe/agb/;;;;;;
45,Fernseh Berlet GmbH &amp; Co. KG,www.berlet.de,https://www.berlet.de/content/uber-berlet/agb-online.html;;;;;
46,Bauer-Elektro-Service &amp; Technik GmbH,www.mybauer.de,http://www.mybauer.de/10246_AGBs.html;;;;;
47,Apotheke im Paunsdorf Center Kirsten Fritsch e. K.,www.apolux.de,https://www.apolux.de/AGB;;;;;;
48,AO Deutschland Ltd.,www.ao.de,http://www.ao.de/service/agb;;;;;;
49,OnlineDeal24 GmbH,www.onlinedeal24.de,http://www.onlinedeal24.de/agb;;;;;;
50,NeS GmbH,www.plus.de,https://www.plus.de/AGB/Informationseiten/-/c-LXEK6twOIREAAAFKSmgpWr7g;;;;;;
51,easyCOSMETIC Beauty Perfectionists Ltd.,www.easycosmetic.de,http://www.easycosmetic.de/agbs.aspx;;;;;;
